job_id,job_title,company_name,location,work_details,skills,qualifications,about
3935168115,DevOps Engineer,PT. BANK NEGARA INDONESIA (Persero) Tbk.,Jakarta Metropolitan Area,"On-site,Contract,Entry level","Agile Application Development,Confluence,Continuous Integration and Continuous Delivery (CI/CD),DevOps,Jenkins,Jira,Scrum","Bachelor's Degree,4+ years of work experience with Jenkins,Can start immediately,4+ years of IT Services and IT Consulting experience,4+ years of work experience with DevOps,4+ years of work experience with Continuous Integration and Continuous Delivery (CI/CD)","Requirements : Memiliki pengalaman minimal 4 tahun sebagai DevOps Engineer Memahami konsep scrum, agile, dan CI/CD Memiliki pengalaman membuat pipeline CI/CD Memiliki pengetahuan/pengalaman penggunaan CI/CD komponen/tools Familiar dengan penggunaan JIRA, Confluence, Jenkins Familiar dengan automatic testing dan code quality review Require Masters or MBA Degree"
3951984858,"Software Engineer, Backend - Business Platform",Grab,"Jakarta, Indonesia","Hybrid,Full-time,Associate","Back-End Web Development,Code Review,Communication,Data Structures,Design Review,OE,Programming,Reliability,Written Communication",,"Company Description About Grab and our workplace Grab is Southeast Asia’s leading superapp. We are dedicated to improving the lives of millions of users across the region by providing them everyday services such as deliveries, mobility, financial services, enterprise services and others. More than that, we provide the opportunity for them to have a better life. And that aspiration starts inside Grab because we believe in a seamless blend of work and home life, making every aspect of life better for all. Guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles—the 4Hs: Heart, Hunger, Honour and Humility—we work to create economic empowerment for the people of Southeast Asia. With our unwavering commitment to our values, we believe that we're more than a service provider; we're agents of positive change. Job Description Get to know Merchant Experience Tech Family At Business Platform our goal is to make merchants happy, and help them thrive in their business. We support all businesses, between tiny merchants (like a warung or hawker) and big, international franchises. Merchants have a lot of different businesses: restaurants, supermarkets, fashion, online stores, people who sell on social media, and many more. We level the playing field between tiny merchants and big merchants by giving them the same tools to grow their business, to attract customers, to become more efficient and be able to concentrate on what they do best inside one GrabMerchant Super App and Portal. If you go to a restaurant, chances are high you have seen some of the products of our team already. We have millions of very different merchant end-users who earn money in Southeast Asia that use our tools: cashiers, store owners, managers, merchant back office for marketing, and reporting. Stability, quality and innovation to engage more customers are the most important qualities for them running their business. Our tools collect and analyze billions of transactions every month that lead to merchant insights on how they can improve their business. We are a distributed team with two thirds in Indonesia, and third in Singapore. Our communication is in English, both in spoken and written form. Our team has direct end-user contact, and impact on the bottom line for merchants and thus, Grab Get to know the role We are seeking talented & passionate Engineers to join our team, you will have opportunities to work on multiple backend services as well as participating in merchant immersions, talking directly to the end-users, identifying their challenges and how we can help them in their work life. It is very important that our team members take initiatives to identify problems, and have the right mindset and skill sets to solve them. The Day-to-Day Activities You use technology to solve well defined problems, building individual components or features based on well defined tasks. You understand the requirements of your projects and use that understanding in your designs. You understand your codebase and systems, ensuring reliability through design reviews, monitoring, alerting, and applying OE (Operational Excellence) standards. You take ownership of your code and ensure it’s readable, maintainable, and well-tested. You understand and apply the appropriate data structures and algorithms. You give clear, actionable feedback during code reviews and respond well to feedback from others. You respond promptly to issues and keep the working team constantly updated. Your tasks are delivered on time and with high quality, and you’re able to explain your solutions to other technical stakeholders through both verbal and written communication. Qualifications The Must-Haves You can write clean code in any language (C++, C, Java, Scala, Rust, Haskell, OCaml, Erlang, Python, Ruby, PHP, Node.JS, C#, etc.), and are willing to learn Golang Ability to write functionally correct, modular, readable and maintainable code Awareness of basic security concepts Understanding of common data structures and common algorithms A good understanding of the clean architecture principles"
3954206104,Sr. Officer-Rebuy & CVM (Circle Jakarta Raya),PT. Indosat Tbk,"Jakarta, Indonesia","On-site,Full-time,Associate","Project Management,Analytical Skills,Customer Retention,Customer Value Proposition,Data Analysis,English,Go-to-Market Strategy,Product Marketing,Strategic Partnerships,Telecommunications","Bachelor's Degree,5+ years of work experience with Customer Value Proposition","Develop and implement product strategies aimed at encouraging rebuy and enhancing customer value for brand. Collaborate with marketing and sales teams to design and launch effective rebuy and retention campaigns. Analyze customer behavior and market trends to identify opportunities for improving customer ARPU, churn and lifetime value. Develop and implement product strategies aimed at encouraging rebuy and enhancing customer value for brand. Collaborate with marketing and sales teams to design and launch effective rebuy and retention campaigns. Analyze customer behavior and market trends to identify opportunities for improving customer ARPU, churn and lifetime value. Develop and implement a CVM strategy that align with CVM HQ strategy. Conduct customer segmentation to identify high-value customer groups. Design and execute programs to increase customer retention and loyalty. Develop targeted marketing campaigns to upsell and cross-sell products and services to existing customers. Work co-operatively with other team members to accomplish delegated tasks assigned by managers. Provide support, when appropriate, for the team in cases of absence or unavailability Provide continuous inputs on business process and systems improvement to ensure delegated tasks are completed in timely and efficient manner Conduct programs/promotions performance and feedback. Initiate continuous GAP analysis and immediate actions to close gaps. Requirements: Bachelor's degree in Marketing, Business, or related field. Preferably minimum 5 years experiences in marketing or sales, minimum 1 year in mid management position with good supervisory skills and capabilities. Practice in marketing in mobile communication industry. Proven track record and strong practice in the field of product, pricing, and CVM in mobile communication industry. Agile mindset is highly required for this position Experience in operation and sales is preferred. Have good analytical thinking and problem solving oriented. Strong communication and presentation, engagement & coordination skills and capabilities. Strong proficiency in utilizing Spreadsheet for data manipulation to transform data into clear and insightful summaries. Result oriented problem-solving approach. Creative and open minded for innovative ideas"
3966866576,Product Innovation,ParagonCorp,"Jakarta, Indonesia","On-site,Full-time,Mid-Senior level","Collaboration Tools,Concept Development,Creative Ideation,Launches,Product Innovation,Product Launch,Product Service,Thinking Skills,Visual Development","Bachelor's Degree,Can start immediately,2+ years of Personal Care Product Manufacturing experience,2+ years of work experience with Thinking Skills,2+ years of work experience with Product Innovation","REQUIREMENTS: A graduate of Bachelor/Master's Degree in all major (preferably in pharmacy, business, design, or related fields). Minimum 2 years of experience (preferably in start-up, FMCG, or beauty industries). Passionate in beauty & wellness market. Excellent communication and collaboration skills, able to work effectively with cross-functional teams. Demonstrated innovation within time and budget constraints. Excellent problem-solving skills, proactive mindset for creative ideas and solutions. Analytical and strategic thinking skills for identifying opportunities for innovation and growth. Able to adapt with high dynamic working environment. JOB DESCRIPTION: Lead the innovation process: ideation, concepting, product design, and visual development Collaborate cross-functionally and with external partners to transform product ideas into tangible products. Work closely with Marketing departments to develop the best product solutions aligned with market needs and consumer preferences. Conduct thorough market and consumer trend analyses to come up with ideas in product solution. Develop compelling product concepts and narratives for successful product launches. Ensure product quality to meet high standards throughout the product innovation process."
3965410324,Account Executive,detikcom,"Jakarta, Indonesia","On-site,Full-time,Entry level","Communication,Microsoft Office,Sales","Bachelor's Degree,1+ years of work experience with Microsoft Office,1+ years of experience in Sales,1+ years of work experience with Negotiation,1+ years of work experience with Sales,1+ years of work experience with Communication,1+ years of work experience with Organization Skills","Responsibilities Build and maintain client relationships Track and record metrics throughout sales process Meet and exceed financial goals Understand and keep up to date with industry and competitive landscape knowledge Meeting clients to discuss their advertising needs Working with account planners to devise a campaign that meets the client’s brief and budget Presenting campaign ideas and costings to clients Briefing the creative team who will produce the adverts Negotiating with clients, solving any problems and making sure deadlines are met Checking and reporting on the campaign’s progress Keeping in contact with the client at all stages of the campaign Managing the account’s budget and invoicing the client Making ‘pitches’ to win new business Qualifications Bachelor's degree 2-3 years of business experience (Fresh Graduates are Welcome to Apply) Strong written and verbal communication skills Strong organizational skills Proficiency in Microsoft Office Ability to harness financial data to inform decisions"
3927531747,Software Engineer - Backend,Traveloka,Jakarta Metropolitan Area,"On-site,Full-time,Entry level","Back-End Web Development,Computer Science,Data Structures,Integration Testing,Portability,Problem Solving,Programming,Reliability",,"It's fun to work in a company where people truly BELIEVE in what they're doing! Job Description Our team is seeking an passionate Backend Software Engineer to join us as we create and deliver mission critical services and processes to enable Traveloka Experience. As a Backend Software Engineer, you will have the opportunity to design and develop creative, compelling, and maintain highly available systems that serve millions of Traveloka users every day. You will develop software and services at scale, innovating on the latest technologies as the earliest adopters while employing your knowledge in algorithms, design patterns, and data structures to solve our customers' needs. In addition to collaborating with fellow engineers, Product Managers, Operations, and Designers, you will be working in an open environment where there are no boundaries or power distances, and are expected to ask questions, speak your mind, and continuously learn and grow. As a Backend Software Engineer, you are expected to: Be responsible for designing, building, improving, or maintaining our backend applications, third-party data integration, data API, backend systems, or working with monitoring tools and infrastructure Contribute code to projects that require backend work Improve existing code bases to be more scalable and reliable Monitor and react on alerts to resolve issues Consider testability, portability/monitoring, reliability, and maintainability, and understand when code is ready to be shared and delivered Propose solutions to code or problems in a high-traffic environment Perform analysis exercises and contribute to postmortems for incidents Work in cross-functional teams and meet great people regularly from top tier technology, consulting, product, or academic background Participate and contribute to engineering hygiene such as code review, unit testing, integration testing, and architectural design review Be encouraged to speak your mind, propose ideas, influence others, and continuously grow yourself Requirements Bachelors' degree in Computer Science from reputable universities s preferred. Excellent problem solving by employing algorithms, data structures, and design patterns Willingness to continuously learn new things in assigned team: technology-related, product-related, or others Strong sense of ownership and belonging to the product(s) owned by the team, and to the tasks at hand Fluency with English, both oral and written Prior technical engineering or working experience is a plus If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!"
3955485565,Senior Integration Engineer (Orchestration team),Grab,"Jakarta, Indonesia","Hybrid,Full-time,Mid-Senior level","Query Languages,Analytical Skills,Communication,Computer Science,Dell Boomi,OAuth,Problem Solving,Role-Based Access Control (RBAC),Security Assertion Markup Language (SAML),Unstructured Data",,"Company Description About Grab and our workplac Grab is Southeast Asia’s leading superapp. We are dedicated to improving the lives of millions of users across the region by providing them everyday services such as deliveries, mobility, financial services, enterprise services and others. More than that, we provide the opportunity for them to have a better life. And that aspiration starts inside Grab because we believe in a seamless blend of work and home life, making every aspect of life better for all. Guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles—the 4Hs: Heart, Hunger, Honour and Humility—we work to create economic empowerment for the people of Southeast Asia. With our unwavering commitment to our values, we believe that we're more than a service provider; we're agents of positive change. Job Description Get to know the team The orchestration team takes care of all orchestration needs of Grabber Technology solutions (GTS - Grab’s Enterprise IT team) and beyond. Our work directly enhances Grabbers' productivity by delivering time-saving features. We're expanding our team and seeking individuals passionate about building and managing complex workflows or processes across multiple systems or components. If this resonates with you, come join us! Get to know the role We are looking for a Senior Engineer for our DevOps team within the Orchestration team. The DevOps team, composed of Senior and Junior engineers, is responsible for development, testing, deployment, production support and maintenance of workflow automation and integration solutions predominantly built on iPaaS. In this role, as a Senior engineer, you will be responsible for leading the design, development, and delivery of high-quality software solutions that meet the needs of our stakeholders and drive business success. The Day-to-Day Activities Lead the design, development, and implementation of simple to complex workflow automations and integrations solutions, ensuring adherence to coding standards, architectural guidelines, and best practices. Provide technical guidance and mentorship to junior engineers, assisting in their professional development and fostering a culture of learning and collaboration within the team. Conduct code reviews on code delivered by junior engineers to ensure code quality, performance, and maintainability, providing constructive feedback and guidance to team members to improve code craftsmanship and development practices. Enforce standard quality assurance processes to ensure technical solutions meet quality and performance standards. This includes executing testing and validation procedures and implementing continuous integration and deployment pipelines for automated testing and deployment. Maintain comprehensive, up-to-date technical documentation accessible to team members. This includes documenting system designs, configurations, architectural decisions, and implementation details to facilitate troubleshooting and knowledge sharing within the team. Coordinate with change management teams to assess the impact of changes, schedule maintenance windows, and communicate change activities to stakeholders. Promptly respond to and resolve production incidents, alerts, and service disruptions to minimize downtime and business impact. Conduct root cause analysis and implement preventive measures to avoid recurrence. Note: This role includes rotational early morning shifts to address critical incidents before the start of the working day. Communicate effectively with stakeholders and the solutions team, providing updates and addressing concerns throughout the development process. Qualifications Heart, Hunger, Honour and Humility to serve our stakeholders and Grabbers. Bachelor’s degree in Computer Science, Information Systems, or a related field. At least 5 years of experience in software engineering, DevOps, or infrastructure roles, emphasizing orchestration, automation, and cloud technologies. Hands-on experience in using popular orchestration tools such as TIBCO business works, Workato, Dell Boomi, Mulesoft etc., would be preferred. At Least 2 years of experience in guiding and mentoring junior engineers on the day to day development and support activities. Proficiency in software development practices and tools, including version control systems (e.g., Git), code review processes, agile development methodologies and practices. Experience working with data query languages (eg., SQL) and robust understanding of data integration and transfer standards. Proficiency in incident management and ticketing systems (e.g., Fresh service, ServiceNow JIRA) for tracking and resolving production incidents. Knowledge of scripting languages like Python, Bash, or PowerShell for automation and scripting tasks would be an advantage. Knowledge of Cyber Security Standards (NIST, COBIT, ISO270001) and Identity and Access Management standards and best practices (ABAC, RBAC, OAuth, SAML). Experience working with Application integration via Secure API methods. Experience in designing and implementing data transformation pipelines for processing and aggregating large volumes of structured and unstructured data is advantageous.. Strong problem-solving and analytical skills, capable of crafting scalable and maintainable software designs from complex requirements. Excellent communication and collaboration abilities with cross-functional teams and stakeholders. Commitment to continuous learning, staying updated on emerging technologies, industry trends, and best practices in orchestration and automation. Adaptability to rapidly changing environments, quickly grasping and applying new concepts and tools. Additional Information Benefits at Grab: Benefits We care deeply about your well-being and are committed to supporting you every step of the way. Here are some of the global benefits we offer: Protect and provide for your loved ones with peace of mind, knowing we have your back with Term Life Insurance and comprehensive Medical Insurance. Craft a benefits package that suits your unique needs and aspirations with GrabFlex, because we believe in empowering you to thrive. Embrace the magic of new life and create lasting memories with your family through Maternity and Paternity Leave. Life can be overwhelming, but you're never alone. Our confidential Grabber Assistance Programme is here to guide and uplift you and your loved ones through life's challenges. Your well-being is our priority. Benefit from our holistic well-being initiatives through Wellbeing@Grab, including health programmes, informative webinars, and vibrant carnivals. Achieve a harmonious work-life balance with our FlexWork arrangements, allowing you to adapt and thrive in your personal and professional life. We’ve got many different benefits hyper localised in each country. Speak to your recruiter during your interview to find out more. What We Stand For At Grab We are committed to building an inclusive and equitable workplace that enables diverse Grabbers to grow and perform at their best. As an equal opportunity employer, we consider all candidates fairly and equally regardless of nationality, ethnicity, religion, age, gender identity, sexual orientation, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique. If you require accommodations to fully participate in the recruitment process, you are encouraged to include your request(s) when applying. We deliver the greatest impact and ideas when we bring together diverse perspectives. It is what enables us to spread opportunities to Grabbers and our partners. It’s not a box-ticking exercise; it’s who we are."
3965173790,"Lead Software Engineer, Backend",Grab,"Jakarta, Indonesia","Hybrid,Full-time,Mid-Senior level","Back-End Web Development,Software Development,Code Review,Computer Science,Database Management System (DBMS),Design Review,Financial Systems,Microservices,NoSQL,System Performance",,"Company Description About Grab and our workplace Grab is Southeast Asia’s leading Superapp. We are dedicated to improving the lives of millions of users across the region by providing them everyday services such as deliveries, mobility, financial services, enterprise services and others. More than that, we provide the opportunity for them to have a better life. And that aspiration starts inside Grab because we believe in a seamless blend of work and home life, making every aspect of life better for all. Guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles—the 4Hs: Heart, Hunger, Honour and Humility—we work to create economic empowerment for the people of Southeast Asia. With our unwavering commitment to our values, we believe that we're more than a service provider; we're agents of positive change. Job Description Get to Know the Team The Lending team is responsible for building safe, secure and versatile loan products for all user segments. We own a range of platform primitive components such as, but not limited to, Loan Management System, Repayments Engine and Product Flow Orchestator to name a few. We take pride in building distributed systems that have a real impact on the lives of millions of users in our endeavour to out-serve the underserved population. Theories like Idempotency, CAP theorem, Distributed Consensus are more than just theoretical terms for us and have real bearings on the systems we build. Get To Know The Role We are seeking a passionate Lead Engineer with the required skill sets and more to join our team. In this role, you will have opportunities to design, develop, and maintain backend components and services. You will collaborate closely with the product, business, and program management teams to ensure timely and high-quality deliverables. You will also adopt and advocate software engineering best practices for larger teams, including code reviews, static analysis, feature-flagging, and semantic versioning of internal APIs. A significant part of your role will involve the design and architecture of backend systems. If you are willing to go the extra mile to identify and resolve user pain points and are ready to take ownership of your systems, apply with us today. The Day-to-Day Activities You will be responsible for proposing and owning technical improvements within the team, driving innovation and enhancing overall system performance and efficiency You will participate in technical and product review meetings, providing valuable insights and feedback. You will ensure the timely delivery of high-quality, maintainable, and operationally excellent code, taking full accountability for the end-to-end development process. You will deliver high-quality, bug-free code, and take responsibility for the integrity and performance of the systems you develop. You will be accountable for the timely closure of all assigned code reviews and design reviews, ensuring thorough and effective evaluation. You will support SRE and DevOps teams in setting up hardware and microservices infrastructure, taking ownership of the infrastructure’s reliability and scalability. You will participate in team oncall rotation to help achieve and maintain operational excellence, proactively addressing and resolving system issues. You will drive and take leadership in projects, ensuring all project stakeholders are aligned and informed, and taking responsibility for the project's success. You will own the systems you develop, from initial design through deployment and ongoing maintenance, ensuring continuous improvement and reliability. You will proactively identify, address, and resolve issues within your systems, demonstrating a commitment to accountability and excellence. Qualifications A degree in Computer Science, Software Engineering, Information Technology or comparable experience Strong Computer Science fundamentals such as Data Structures, Algorithms, Operating Systems, Networking etc. You have at least 8 years of experience - with at least 5+ years of relevant experience in building scalable systems. You are proficient in at least one programming language (preferably Java or Golang). You have a working knowledge of building back end systems around DBMS, Caches, NoSQL and App servers. Experience in building cloud service would be an advantage. You are well-versed in system performance and scaling Your prior experience in building banking or financial systems will be advantageous. You prior experience in building consumer facing product will be an advantage You showcase proactivity and creativity and understand the right balance between product, engineering, and business needs"
3954200772,Sr. Officer-Pricing Brand (Circle Kalisumapa),PT. Indosat Tbk,"Makassar, South Sulawesi, Indonesia","On-site,Full-time,Associate","Project Management,SQL,Communication,Customer Experience Management,Data Analysis,Data Analytics,Databases,English,Finance,Go-to-Market Strategy,Marketing Strategy,Pricing Strategy,Product Marketing,Tableau,Telco Industry,Telecommunications","1+ years of work experience with Finance,1+ years of work experience with Analytical Skills,1+ years of work experience with Business Case,1+ years of work experience with Business Intelligence (BI),1+ years of work experience with Communication,1+ years of work experience with Tableau","There are 2 vacant positions, for Brand Tri & Brand IM3 in Circle Marketing Kalimantan and Sulawesi. Develop and implement pricing strategies for brand products and services. Conduct pricing analysis and market research to ensure competitive pricing. Collaborate with product and marketing teams to align pricing strategies with overall business objectives. Develop and implement pricing strategies for brand products and services. Conduct pricing analysis and market research to ensure competitive pricing. Collaborate with product and marketing teams to align pricing strategies with overall business objectives. Work co-operatively with other team members to accomplish delegated tasks assigned by managers. Provide support, when appropriate, for the team in cases of absence or unavailability Provide continuous inputs on business process and systems improvement to ensure delegated tasks are completed in timely and efficient manner Conduct programs/promotions performance and feedback. Initiate continuous GAP analysis and immediate actions to close gaps. Requirements: Bachelor's degree in Marketing, Business, or related field. Preferably minimum 5 years experiences in marketing or sales, minimum 1 year in mid management position with good supervisory skills and capabilities. Practice in marketing in mobile communication industry. Proven track record and strong practice in the field of product, pricing, and CVM in mobile communication industry. Experience in operation and sales is preferred. Have good analytical thinking and problem solving oriented. Agile mindset is highly required for this position Strong communication and presentation, engagement & coordination skills and capabilities. Strong proficiency in utilizing Spreadsheet for data manipulation to transform data into clear and insightful summaries. Flexible and adaptable in under-pressure condition Result oriented problem-solving approach. Creative and open minded for innovative ideas Willing to be placed in Makassar, South Sulawesi and traveling"
3917292568,Technology Graduates Program,CIMB Niaga,"Tangerang, Banten, Indonesia","On-site,Contract,Entry level","Analytical Skills,Communication,Computer Science,English,Interpersonal Skills,Self-confidence",Bachelor's Degree,"Technology Graduates Program (TGP) is a program designed to develop young-enthusiastic candidates to start their career in IT. The program will equip candidates with proper necessary skill, knowledge and good attitude to succeed Requirements Bachelor/Master of Information Technology/Computer Science/similar fields from reputable local and overseas universities Fresh graduate or max 1-year experience. Having knowledge in algorithms and programming language The minimum GPA is 3.25 Having good English language proficiency Demonstrate the following qualities: creative, integrity, high motivation, self-confidence, good communication/interpersonal skills and have a good analytical thinking."
