job_id,job_title,company_name,location,degree,experience,skills,about,qualifications,degree_value,min_experience
3935168115,devops engineer,PT. BANK NEGARA INDONESIA (Persero) Tbk.,Jakarta Metropolitan Area,bachelor,"4 years of work experience,4 years of work experience,4 years of work experience","agile application development,confluence,continuous integration and continuous delivery (ci/cd),devops,jenkins,jira,scrum",requirements memiliki pengalaman minimal 4 tahun sebagai devops engineer memahami konsep scrum agile dan ci cd memiliki pengalaman membuat pipeline ci cd memiliki pengetahuan pengalaman penggunaan ci cd komponen tools familiar dengan penggunaan jira confluence jenkins familiar dengan automatic testing dan code quality review require masters or mba degree,bachelor s degree 4 years of work experience with jenkins can start immediately 4 years of it services and it consulting experience 4 years of work experience with devops 4 years of work experience with continuous integration and continuous delivery ci cd ,1.0,4.0
3951984858,"software engineer, backend - business platform",Grab,"Jakarta, Indonesia",,,"back-end web development,code review,communication,data structures,design review,oe,programming,reliability,written communication",company description about grab and our workplace grab is southeast asia s leading superapp we are dedicated to improving the lives of millions of users across the region by providing them everyday services such as deliveries mobility financial services enterprise services and others more than that we provide the opportunity for them to have a better life and that aspiration starts inside grab because we believe in a seamless blend of work and home life making every aspect of life better for all guided by the grab way which spells out our mission how we believe we can achieve it and our operating principles the 4hs heart hunger honour and humility we work to create economic empowerment for the people of southeast asia with our unwavering commitment to our values we believe that we re more than a service provider we re agents of positive change job description get to know merchant experience tech family at business platform our goal is to make merchants happy and help them thrive in their business we support all businesses between tiny merchants like a warung or hawker and big international franchises merchants have a lot of different businesses restaurants supermarkets fashion online stores people who sell on social media and many more we level the playing field between tiny merchants and big merchants by giving them the same tools to grow their business to attract customers to become more efficient and be able to concentrate on what they do best inside one grabmerchant super app and portal if you go to a restaurant chances are high you have seen some of the products of our team already we have millions of very different merchant end users who earn money in southeast asia that use our tools cashiers store owners managers merchant back office for marketing and reporting stability quality and innovation to engage more customers are the most important qualities for them running their business our tools collect and analyze billions of transactions every month that lead to merchant insights on how they can improve their business we are a distributed team with two thirds in indonesia and third in singapore our communication is in english both in spoken and written form our team has direct end user contact and impact on the bottom line for merchants and thus grab get to know the role we are seeking talented passionate engineers to join our team you will have opportunities to work on multiple backend services as well as participating in merchant immersions talking directly to the end users identifying their challenges and how we can help them in their work life it is very important that our team members take initiatives to identify problems and have the right mindset and skill sets to solve them the day to day activities you use technology to solve well defined problems building individual components or features based on well defined tasks you understand the requirements of your projects and use that understanding in your designs you understand your codebase and systems ensuring reliability through design reviews monitoring alerting and applying oe operational excellence standards you take ownership of your code and ensure it s readable maintainable and well tested you understand and apply the appropriate data structures and algorithms you give clear actionable feedback during code reviews and respond well to feedback from others you respond promptly to issues and keep the working team constantly updated your tasks are delivered on time and with high quality and you re able to explain your solutions to other technical stakeholders through both verbal and written communication qualifications the must haves you can write clean code in any language c c java scala rust haskell ocaml erlang python ruby php node js c etc and are willing to learn golang ability to write functionally correct modular readable and maintainable code awareness of basic security concepts understanding of common data structures and common algorithms a good understanding of the clean architecture principles,,,
3954206104,sr. officer-rebuy & cvm (circle jakarta raya),PT. Indosat Tbk,"Jakarta, Indonesia",bachelor,5 years of work experience,"project management,analytical skills,customer retention,customer value proposition,data analysis,english,go-to-market strategy,product marketing,strategic partnerships,telecommunications",develop and implement product strategies aimed at encouraging rebuy and enhancing customer value for brand collaborate with marketing and sales teams to design and launch effective rebuy and retention campaigns analyze customer behavior and market trends to identify opportunities for improving customer arpu churn and lifetime value develop and implement product strategies aimed at encouraging rebuy and enhancing customer value for brand collaborate with marketing and sales teams to design and launch effective rebuy and retention campaigns analyze customer behavior and market trends to identify opportunities for improving customer arpu churn and lifetime value develop and implement a cvm strategy that align with cvm hq strategy conduct customer segmentation to identify high value customer groups design and execute programs to increase customer retention and loyalty develop targeted marketing campaigns to upsell and cross sell products and services to existing customers work co operatively with other team members to accomplish delegated tasks assigned by managers provide support when appropriate for the team in cases of absence or unavailability provide continuous inputs on business process and systems improvement to ensure delegated tasks are completed in timely and efficient manner conduct programs promotions performance and feedback initiate continuous gap analysis and immediate actions to close gaps requirements bachelor s degree in marketing business or related field preferably minimum 5 years experiences in marketing or sales minimum 1 year in mid management position with good supervisory skills and capabilities practice in marketing in mobile communication industry proven track record and strong practice in the field of product pricing and cvm in mobile communication industry agile mindset is highly required for this position experience in operation and sales is preferred have good analytical thinking and problem solving oriented strong communication and presentation engagement coordination skills and capabilities strong proficiency in utilizing spreadsheet for data manipulation to transform data into clear and insightful summaries result oriented problem solving approach creative and open minded for innovative ideas,bachelor s degree 5 years of work experience with customer value proposition,1.0,5.0
3966866576,product innovation,ParagonCorp,"Jakarta, Indonesia",bachelor,"2 years of work experience,2 years of work experience","collaboration tools,concept development,creative ideation,launches,product innovation,product launch,product service,thinking skills,visual development",requirements a graduate of bachelor master s degree in all major preferably in pharmacy business design or related fields minimum 2 years of experience preferably in start up fmcg or beauty industries passionate in beauty wellness market excellent communication and collaboration skills able to work effectively with cross functional teams demonstrated innovation within time and budget constraints excellent problem solving skills proactive mindset for creative ideas and solutions analytical and strategic thinking skills for identifying opportunities for innovation and growth able to adapt with high dynamic working environment job description lead the innovation process ideation concepting product design and visual development collaborate cross functionally and with external partners to transform product ideas into tangible products work closely with marketing departments to develop the best product solutions aligned with market needs and consumer preferences conduct thorough market and consumer trend analyses to come up with ideas in product solution develop compelling product concepts and narratives for successful product launches ensure product quality to meet high standards throughout the product innovation process ,bachelor s degree can start immediately 2 years of personal care product manufacturing experience 2 years of work experience with thinking skills 2 years of work experience with product innovation,1.0,2.0
3965410324,account executive,detikcom,"Jakarta, Indonesia",bachelor,"1 years of work experience,1 years of experience,1 years of work experience,1 years of work experience,1 years of work experience,1 years of work experience","communication,microsoft office,sales",responsibilities build and maintain client relationships track and record metrics throughout sales process meet and exceed financial goals understand and keep up to date with industry and competitive landscape knowledge meeting clients to discuss their advertising needs working with account planners to devise a campaign that meets the client s brief and budget presenting campaign ideas and costings to clients briefing the creative team who will produce the adverts negotiating with clients solving any problems and making sure deadlines are met checking and reporting on the campaign s progress keeping in contact with the client at all stages of the campaign managing the account s budget and invoicing the client making pitches to win new business qualifications bachelor s degree 2 3 years of business experience fresh graduates are welcome to apply strong written and verbal communication skills strong organizational skills proficiency in microsoft office ability to harness financial data to inform decisions,bachelor s degree 1 years of work experience with microsoft office 1 years of experience in sales 1 years of work experience with negotiation 1 years of work experience with sales 1 years of work experience with communication 1 years of work experience with organization skills,1.0,1.0
3927531747,software engineer - backend,Traveloka,Jakarta Metropolitan Area,bachelors,,"back-end web development,computer science,data structures,integration testing,portability,problem solving,programming,reliability",it s fun to work in a company where people truly believe in what they re doing job description our team is seeking an passionate backend software engineer to join us as we create and deliver mission critical services and processes to enable traveloka experience as a backend software engineer you will have the opportunity to design and develop creative compelling and maintain highly available systems that serve millions of traveloka users every day you will develop software and services at scale innovating on the latest technologies as the earliest adopters while employing your knowledge in algorithms design patterns and data structures to solve our customers needs in addition to collaborating with fellow engineers product managers operations and designers you will be working in an open environment where there are no boundaries or power distances and are expected to ask questions speak your mind and continuously learn and grow as a backend software engineer you are expected to be responsible for designing building improving or maintaining our backend applications third party data integration data api backend systems or working with monitoring tools and infrastructure contribute code to projects that require backend work improve existing code bases to be more scalable and reliable monitor and react on alerts to resolve issues consider testability portability monitoring reliability and maintainability and understand when code is ready to be shared and delivered propose solutions to code or problems in a high traffic environment perform analysis exercises and contribute to postmortems for incidents work in cross functional teams and meet great people regularly from top tier technology consulting product or academic background participate and contribute to engineering hygiene such as code review unit testing integration testing and architectural design review be encouraged to speak your mind propose ideas influence others and continuously grow yourself requirements bachelors degree in computer science from reputable universities s preferred excellent problem solving by employing algorithms data structures and design patterns willingness to continuously learn new things in assigned team technology related product related or others strong sense of ownership and belonging to the product s owned by the team and to the tasks at hand fluency with english both oral and written prior technical engineering or working experience is a plus if you like wild growth and working with happy enthusiastic over achievers you ll enjoy your career with us ,,1.0,
3955485565,senior integration engineer (orchestration team),Grab,"Jakarta, Indonesia",bachelor,"5 years of experience,2 years of experience","query languages,analytical skills,communication,computer science,dell boomi,oauth,problem solving,role-based access control (rbac),security assertion markup language (saml),unstructured data",company description about grab and our workplac grab is southeast asia s leading superapp we are dedicated to improving the lives of millions of users across the region by providing them everyday services such as deliveries mobility financial services enterprise services and others more than that we provide the opportunity for them to have a better life and that aspiration starts inside grab because we believe in a seamless blend of work and home life making every aspect of life better for all guided by the grab way which spells out our mission how we believe we can achieve it and our operating principles the 4hs heart hunger honour and humility we work to create economic empowerment for the people of southeast asia with our unwavering commitment to our values we believe that we re more than a service provider we re agents of positive change job description get to know the team the orchestration team takes care of all orchestration needs of grabber technology solutions gts grab s enterprise it team and beyond our work directly enhances grabbers productivity by delivering time saving features we re expanding our team and seeking individuals passionate about building and managing complex workflows or processes across multiple systems or components if this resonates with you come join us get to know the role we are looking for a senior engineer for our devops team within the orchestration team the devops team composed of senior and junior engineers is responsible for development testing deployment production support and maintenance of workflow automation and integration solutions predominantly built on ipaas in this role as a senior engineer you will be responsible for leading the design development and delivery of high quality software solutions that meet the needs of our stakeholders and drive business success the day to day activities lead the design development and implementation of simple to complex workflow automations and integrations solutions ensuring adherence to coding standards architectural guidelines and best practices provide technical guidance and mentorship to junior engineers assisting in their professional development and fostering a culture of learning and collaboration within the team conduct code reviews on code delivered by junior engineers to ensure code quality performance and maintainability providing constructive feedback and guidance to team members to improve code craftsmanship and development practices enforce standard quality assurance processes to ensure technical solutions meet quality and performance standards this includes executing testing and validation procedures and implementing continuous integration and deployment pipelines for automated testing and deployment maintain comprehensive up to date technical documentation accessible to team members this includes documenting system designs configurations architectural decisions and implementation details to facilitate troubleshooting and knowledge sharing within the team coordinate with change management teams to assess the impact of changes schedule maintenance windows and communicate change activities to stakeholders promptly respond to and resolve production incidents alerts and service disruptions to minimize downtime and business impact conduct root cause analysis and implement preventive measures to avoid recurrence note this role includes rotational early morning shifts to address critical incidents before the start of the working day communicate effectively with stakeholders and the solutions team providing updates and addressing concerns throughout the development process qualifications heart hunger honour and humility to serve our stakeholders and grabbers bachelor s degree in computer science information systems or a related field at least 5 years of experience in software engineering devops or infrastructure roles emphasizing orchestration automation and cloud technologies hands on experience in using popular orchestration tools such as tibco business works workato dell boomi mulesoft etc would be preferred at least 2 years of experience in guiding and mentoring junior engineers on the day to day development and support activities proficiency in software development practices and tools including version control systems e g git code review processes agile development methodologies and practices experience working with data query languages eg sql and robust understanding of data integration and transfer standards proficiency in incident management and ticketing systems e g fresh service servicenow jira for tracking and resolving production incidents knowledge of scripting languages like python bash or powershell for automation and scripting tasks would be an advantage knowledge of cyber security standards nist cobit iso270001 and identity and access management standards and best practices abac rbac oauth saml experience working with application integration via secure api methods experience in designing and implementing data transformation pipelines for processing and aggregating large volumes of structured and unstructured data is advantageous strong problem solving and analytical skills capable of crafting scalable and maintainable software designs from complex requirements excellent communication and collaboration abilities with cross functional teams and stakeholders commitment to continuous learning staying updated on emerging technologies industry trends and best practices in orchestration and automation adaptability to rapidly changing environments quickly grasping and applying new concepts and tools additional information benefits at grab benefits we care deeply about your well being and are committed to supporting you every step of the way here are some of the global benefits we offer protect and provide for your loved ones with peace of mind knowing we have your back with term life insurance and comprehensive medical insurance craft a benefits package that suits your unique needs and aspirations with grabflex because we believe in empowering you to thrive embrace the magic of new life and create lasting memories with your family through maternity and paternity leave life can be overwhelming but you re never alone our confidential grabber assistance programme is here to guide and uplift you and your loved ones through life s challenges your well being is our priority benefit from our holistic well being initiatives through wellbeing grab including health programmes informative webinars and vibrant carnivals achieve a harmonious work life balance with our flexwork arrangements allowing you to adapt and thrive in your personal and professional life we ve got many different benefits hyper localised in each country speak to your recruiter during your interview to find out more what we stand for at grab we are committed to building an inclusive and equitable workplace that enables diverse grabbers to grow and perform at their best as an equal opportunity employer we consider all candidates fairly and equally regardless of nationality ethnicity religion age gender identity sexual orientation family commitments physical and mental impairments or disabilities and other attributes that make them unique if you require accommodations to fully participate in the recruitment process you are encouraged to include your request s when applying we deliver the greatest impact and ideas when we bring together diverse perspectives it is what enables us to spread opportunities to grabbers and our partners it s not a box ticking exercise it s who we are ,,1.0,2.0
3965173790,"lead software engineer, backend",Grab,"Jakarta, Indonesia",,"8 years of experience,5 years of relevant","back-end web development,software development,code review,computer science,database management system (dbms),design review,financial systems,microservices,nosql,system performance",company description about grab and our workplace grab is southeast asia s leading superapp we are dedicated to improving the lives of millions of users across the region by providing them everyday services such as deliveries mobility financial services enterprise services and others more than that we provide the opportunity for them to have a better life and that aspiration starts inside grab because we believe in a seamless blend of work and home life making every aspect of life better for all guided by the grab way which spells out our mission how we believe we can achieve it and our operating principles the 4hs heart hunger honour and humility we work to create economic empowerment for the people of southeast asia with our unwavering commitment to our values we believe that we re more than a service provider we re agents of positive change job description get to know the team the lending team is responsible for building safe secure and versatile loan products for all user segments we own a range of platform primitive components such as but not limited to loan management system repayments engine and product flow orchestator to name a few we take pride in building distributed systems that have a real impact on the lives of millions of users in our endeavour to out serve the underserved population theories like idempotency cap theorem distributed consensus are more than just theoretical terms for us and have real bearings on the systems we build get to know the role we are seeking a passionate lead engineer with the required skill sets and more to join our team in this role you will have opportunities to design develop and maintain backend components and services you will collaborate closely with the product business and program management teams to ensure timely and high quality deliverables you will also adopt and advocate software engineering best practices for larger teams including code reviews static analysis feature flagging and semantic versioning of internal apis a significant part of your role will involve the design and architecture of backend systems if you are willing to go the extra mile to identify and resolve user pain points and are ready to take ownership of your systems apply with us today the day to day activities you will be responsible for proposing and owning technical improvements within the team driving innovation and enhancing overall system performance and efficiency you will participate in technical and product review meetings providing valuable insights and feedback you will ensure the timely delivery of high quality maintainable and operationally excellent code taking full accountability for the end to end development process you will deliver high quality bug free code and take responsibility for the integrity and performance of the systems you develop you will be accountable for the timely closure of all assigned code reviews and design reviews ensuring thorough and effective evaluation you will support sre and devops teams in setting up hardware and microservices infrastructure taking ownership of the infrastructure s reliability and scalability you will participate in team oncall rotation to help achieve and maintain operational excellence proactively addressing and resolving system issues you will drive and take leadership in projects ensuring all project stakeholders are aligned and informed and taking responsibility for the project s success you will own the systems you develop from initial design through deployment and ongoing maintenance ensuring continuous improvement and reliability you will proactively identify address and resolve issues within your systems demonstrating a commitment to accountability and excellence qualifications a degree in computer science software engineering information technology or comparable experience strong computer science fundamentals such as data structures algorithms operating systems networking etc you have at least 8 years of experience with at least 5 years of relevant experience in building scalable systems you are proficient in at least one programming language preferably java or golang you have a working knowledge of building back end systems around dbms caches nosql and app servers experience in building cloud service would be an advantage you are well versed in system performance and scaling your prior experience in building banking or financial systems will be advantageous you prior experience in building consumer facing product will be an advantage you showcase proactivity and creativity and understand the right balance between product engineering and business needs,,,5.0
3954200772,sr. officer-pricing brand (circle kalisumapa),PT. Indosat Tbk,"Makassar, South Sulawesi, Indonesia",bachelor,"1 years of work experience,1 years of work experience,1 years of work experience,1 years of work experience,1 years of work experience,1 years of work experience","project management,sql,communication,customer experience management,data analysis,data analytics,databases,english,finance,go-to-market strategy,marketing strategy,pricing strategy,product marketing,tableau,telco industry,telecommunications",there are 2 vacant positions for brand tri brand im3 in circle marketing kalimantan and sulawesi develop and implement pricing strategies for brand products and services conduct pricing analysis and market research to ensure competitive pricing collaborate with product and marketing teams to align pricing strategies with overall business objectives develop and implement pricing strategies for brand products and services conduct pricing analysis and market research to ensure competitive pricing collaborate with product and marketing teams to align pricing strategies with overall business objectives work co operatively with other team members to accomplish delegated tasks assigned by managers provide support when appropriate for the team in cases of absence or unavailability provide continuous inputs on business process and systems improvement to ensure delegated tasks are completed in timely and efficient manner conduct programs promotions performance and feedback initiate continuous gap analysis and immediate actions to close gaps requirements bachelor s degree in marketing business or related field preferably minimum 5 years experiences in marketing or sales minimum 1 year in mid management position with good supervisory skills and capabilities practice in marketing in mobile communication industry proven track record and strong practice in the field of product pricing and cvm in mobile communication industry experience in operation and sales is preferred have good analytical thinking and problem solving oriented agile mindset is highly required for this position strong communication and presentation engagement coordination skills and capabilities strong proficiency in utilizing spreadsheet for data manipulation to transform data into clear and insightful summaries flexible and adaptable in under pressure condition result oriented problem solving approach creative and open minded for innovative ideas willing to be placed in makassar south sulawesi and traveling,1 years of work experience with finance 1 years of work experience with analytical skills 1 years of work experience with business case 1 years of work experience with business intelligence bi 1 years of work experience with communication 1 years of work experience with tableau,1.0,1.0
3917292568,technology graduates program,CIMB Niaga,"Tangerang, Banten, Indonesia",bachelor,1 year experience,"analytical skills,communication,computer science,english,interpersonal skills,self-confidence",technology graduates program tgp is a program designed to develop young enthusiastic candidates to start their career in it the program will equip candidates with proper necessary skill knowledge and good attitude to succeed requirements bachelor master of information technology computer science similar fields from reputable local and overseas universities fresh graduate or max 1 year experience having knowledge in algorithms and programming language the minimum gpa is 3 25 having good english language proficiency demonstrate the following qualities creative integrity high motivation self confidence good communication interpersonal skills and have a good analytical thinking ,bachelor s degree,1.0,1.0
