id,company_name,company_image
1,PT. BANK NEGARA INDONESIA (Persero) Tbk.,https://i.ibb.co.com/s9fGTZR/image.png
2,Grab,https://i.ibb.co.com/bgs31M3/image.png
3,PT. Indosat Tbk,https://i.ibb.co.com/s9fGTZR/image.png
4,ParagonCorp,https://i.ibb.co.com/tQcqntc/pt-paragon-technology-innovation-logo-e-1732752000-v-beta-t-1u-Xt-Kb-Dq-Vc-I5h-KEy-GZPS-5j-Kvb4f56e.jpg
5,detikcom,https://i.ibb.co.com/Bw6Hdx2/image.png
6,Traveloka,https://i.ibb.co.com/85RSCBK/image.png
7,CIMB Niaga,https://i.ibb.co.com/wRh6wBQ/image.png
8,TikTok,https://i.ibb.co.com/zZgR2ng/image.png
9,DBS Bank,https://i.ibb.co.com/yYkMF2t/image.png
10,Moladin,https://i.ibb.co.com/ZgKXCYK/image.png
11,PT Bank Central Asia Tbk (BCA),https://i.ibb.co.com/cCm6110/image.png
12,Amazon Web Services (AWS),https://i.ibb.co.com/X4SJxC1/image.png
13,GoTo Group,https://i.ibb.co.com/JzpCF5Y/image.png
14,SIRCLO,https://i.ibb.co.com/7t1rZ47/image.png
15,PT Bank Neo Commerce Tbk,https://i.ibb.co.com/9sspmWb/image.png
16,Wings Group Indonesia (Sayap Mas Utama)
17,Astra Financial,https://i.ibb.co.com/x58HqZK/image.png
18,Kick Avenue
19,Flip,https://i.ibb.co.com/QfVfS6j/image.png
20,Google
21,PT Bank Digital BCA (BCA Digital)
22,Pawkit
23,Asuransi Astra
24,Indonesia Cloud Computing (IDcloudhost)
25,TRANS TV
26,PT Prodia Digital Indonesia
27,Atome,https://i.ibb.co.com/ZSDyTQt/image.png
28,Philip Morris International
29,Samsung Electronics Southeast Asia & Oceania,https://i.ibb.co.com/Fz1BWkk/image.png
30,PT Qtera Mandiri
31,Bukalapak,https://i.ibb.co.com/3CHPjKS/image.png
32,Mekari
33,PT Salam Pacific Indonesia Lines
34,PwC Indonesia
35,Sea
36,tiket.com,https://i.ibb.co.com/zSCb6Jq/image.png
37,Somethinc - BeautyHaul
38,OCBC Indonesia,https://i.ibb.co.com/Yt843Mz/image.png
39,PT. Metrodata Electronics Tbk.
40,Shopee,https://i.ibb.co.com/C2sQC05/image.png
41,Bank Mega
42,Pontiac Land Group
43,Bersama Digital Data Centres (BDDC)
44,Cobblestone Energy
45,Indonesia Financial Group (IFG)
46,ByteDance
47,PT Tempo Scan Pacific Tbk
48,PUMA Group
49,Lazada,https://i.ibb.co.com/0Y15qD1/image.png
50,Agate
51,PT XL Axiata Tbk,https://i.ibb.co.com/YdzhMgM/image.png
52,ITOMMEY Group
53,SLB
54,PT Bank BTPN Tbk
55,Dialogika
56,Rocketindo
57,Scopic
58,Freeport-McMoRan
59,UOB
60,The Coca-Cola Company
61,Indonesia Banking School
62,Boston Consulting Group (BCG),https://i.ibb.co.com/sPqw0Mn/image.png
63,Alcon
64,Verint
65,Bitlabs Academy,https://i.ibb.co.com/DW19Q8b/image.png
66,Panca Budi Tbk
67,Ukirama
68,Paper.id,https://i.ibb.co.com/PQnyB68/image.png
69,PT Paramount Enterprise International
70,Alibaba Cloud,https://i.ibb.co.com/CM2y0R3/image.png
71,EY,https://i.ibb.co.com/wyBG07j/image.png
72,PT Astra International Tbk
73,PT Lion Super Indo
74,PT Bank KEB Hana Indonesia
75,Kata.ai
76,Siemens Digital Industries Software
77,Aspire
78,Baramulti Group
79,Godrej Consumer Products Limited
80,Yogyakarta State University
81,DANA Indonesia,https://i.ibb.co.com/HF3n726/image.png
82,Aon
83,PT Smartfren Telecom Tbk
84,Grant Thornton Indonesia
85,Microsoft,https://i.ibb.co.com/99BJ2Hk/image.png
86,Cermati.com
87,Universitas Diponegoro Official
88,PT. Astra Graphia Information Technology (AGIT)
89,Mars
90,PwC
91,Logicalis Asia Pacific
92,Tada
93,PT Japan Fitness Indonesia
94,CSG
95,Novotel Tangerang
96,APRIL
97,SmartCrowd
98,Bank Maybank Indonesia
99,Zurich Insurance
100,bit. (PT. Bringin Inti Teknologi)
101,JULO
102,Nike
103,OttoDigital Group
104,Bosch ASEAN
105,Sinar Mas Land
106,Amartha
107,MAUA Nusa Penida Bali
108,Siloam Hospitals Group
109,INDICO
110,Konimex Group
111,Bank of America
112,Ingenico
113,BukuWarung
114,Lintasarta
115,KrisShop
116,Bank Aladin Syariah
117,Entrepreneur Trust Digital | Entrust Digital
118,"PT. Lippo Karawaci, Tbk"
119,XP Inc.
120,Generali Indonesia
121,Funding Societies | Modalku Group
122,L'Oréal
123,SeaBank Indonesia
124,GE Vernova
125,Tenang AI
126,Hypefast
127,Marlee (Fingerprint For Success)
128,Accord Innovations
129,Prudential Indonesia (PT Prudential Life Assurance)
130,PermataBank
131,INDODAX - Indonesia Digital Asset Exchange
132,Xendit
133,Antler
134,"PT Bank Danamon Indonesia, Tbk."
135,Bibit.id
136,PepsiCo
137,"McDermott International, Ltd"
138,Privy
139,VIDEODESIGN
140,Bank Saqu
141,IBM
142,Citi
143,PT. Asuransi Samsung Tugu
144,Alibaba Cloud Intelligence Group,https://i.ibb.co.com/CM2y0R3/image.png
145,Blue Bird Group
146,Traders Family
147,Fazz
148,PT BIONIC TEKNOLOGI INDONESIA
149,RedDoorz
150,Mobius Digital
151,K-Club Group
152,Accenture Southeast Asia
153,LG CNS Indonesia
154,Deloitte
155,"PT. Erajaya Swasembada, Tbk."
156,PT.Enseval Putera Megatrading Tbk
157,Unilever
158,Nodewave Indonesia
159,Turing
160,ISMAYA GROUP
161,Concentrix
162,Asia Pulp & Paper Indonesia
163,Acronis
164,Turner & Townsend
165,PT Esensi Solusi Buana (ESB)
166,Worley
167,Staffinc Group
168,PT Bank Sinarmas Tbk
169,PT. Inovasi Anak Indonesia - PARKEE
170,Braintrust
171,Chubb Life
172,YODU
173,PT Siaga Abdi Utama
174,UNDP Careers
175,Akulaku Indonesia
176,Jiva
177,PT YKK AP INDONESIA
178,Arka Data
179,Bank Mandiri Taspen
180,Qiscus
181,Skyshi Digital Indonesia
182,Populix
183,iCloudEMS
184,Cakap
185,Avomind
186,Gate.io
187,DB Klik
188,Tenstud
189,CODE.ID
190,dentsu
191,PT Ako Media Asia
192,UENA
193,PT Kaldu Sari Nabati Indonesia
194,Sampoerna Schools System
195,Windranger Labs
196,Great Giant Foods
197,BITDNA
198,Dikshatek Indonesia
199,PT. Digital Sinergi Kreatif Berkarya
200,Exxel Marketing Technology
201,Astronacci International
202,Sagara Technology
203,PT. Sasa Inti
204,Insura Media Solusi
205,PT. SURYA MADISTRINDO
206,Luna Park Media
207,Fundo Indonesia
208,APP Group
209,Influx
210,MPM Group (PT Mitra Pinasthika Mustika Tbk)
211,ADA
212,Kalbe Nutritionals (PT Sanghiang Perkasa)
213,Carousell Group
214,PT. DIGIKIDZ INDONESIA
215,PT Sumber Sarana Putra
216,PT 360 Teknologi Indonesia
217,Tekvaly
218,PaveNow
219,PT Amber Solusi Internasional
220,commsult Indonesia
221,
222,"Dua Empat Tujuh, PT (SOLUSI247)"
223,Digisign.id
224,PT Inter Medialink Solusi
225,Sinarmas World Academy
226,Integrity Asia
227,Wallex
228,BNET (PT. Wahana Internet Nusantara)
229,TACO Group
230,PT. Qtasnim Digital Teknologi
231,LOOP Coding
232,PT Entrepreneur Trust Digital
233,VENTURO | Professional Programmer
234,TransPerfect
235,The Maker Hacker
236,Horego
237,Himalaya Indo Karya
238,Koding Next
239,PT Idemu Sistem Sinergi
240,Qubika Boutique Hotel Kota Nusantara
241,PT. Aman Tekno Solusi
242,RapidSeedbox
243,Bain & Company
244,danabijak
245,PT Aino Indonesia
246,PT. IDStar Cipta Teknologi (IDstar)
247,ION Mobility
248,Sekolah.mu
249,Ericsson
250,KECILIN
251,CNBC Indonesia
252,PT Wira Internasional Teknologi
253,Mitra Informatika
254,TapTalent.ai
255,PT Wiradi Utama Packindo
256,Penerbit Deepublish
257,PT. Digital Nayaka Abhinaya
258,PT Alam Sutera Realty Tbk.
259,Ciputra Group
260,PT Rect Media Komputindo
261,HAND Global Solutions
262,broom.id
263,Rakamin Academy
264,Prohire Global
265,Ayovest
266,Glints
267,PT Mulya Kencana Metalindo
268,IKEA
269,Vidio
270,DartMedia
271,Gameloft
272,Siemens
273,BMW Group
274,PT Sahabat Mikro Fintek
275,Siemens Healthineers
276,EBUDDY PTE. LTD.
277,PT Solomon Indo Global
278,Evooq
279,SwipeRx
280,Coding Collective
281,PT. ASTRA DAIHATSU MOTOR
282,Kredivo Group
283,FIT HUB
284,Allianz Indonesia
285,Robert Walters
286,QANDA(Mathpresso)
287,Devoteam G Cloud
288,FORMULATRIX
289,PT Evolusi Teknologi Solusi
290,Kelola Talenta Global
291,Hitachi Energy
292,PT Jakmall Digital Niaga
293,Schoters
294,Asian Agri
295,PT Asuransi Tugu Pratama Indonesia Tbk
296,WireHire
297,PT United Tractors Tbk
298,Nusantics
299,Medify
300,Gradana Indonesia
301,PT Mega Central Finance
302,Badr Interactive
303,PT Propan Raya ICC
304,Hyundai Motor Asia Pacific Headquarters
305,DHL Global Forwarding
306,Crypto.com
307,SC Johnson
308,PT Bank Jago Tbk
309,Pt. Inovasi Anak Indonesia
310,WeNetwork
311,PETRONAS Lubricants International
312,Paired
313,PT. Industrial Robotic Automation
314,Mitramas Infosys Global
315,Nomura Research Institute Indonesia
316,ROYAL TRUST FUTURES
317,Silvertech Asia
318,Sheraton Jakarta Soekarno Hatta Airport
319,Apical
320,Kopi Kenangan
321,Kraft Heinz
322,Oil and Gas Job Search Ltd
323,Confidential
324,YO HR Consultancy
325,William Grant & Sons
326,Hyphen Connect
327,PT. Bank Maybank Indonesia Tbk
328,micro1
329,OneByOne
330,PT. SumatraSarana Sekar Sakti (S4 Group)
331,PT. Intikom Berlian Mustika
332,RS Lira Medika Karawang
333,McEasy
334,Redtop Hotel & Convention Center
335,Talentport
336,PT Kita Tanami Indonesia
337,The Software Practice Pte Ltd
338,Bumi Amartha Teknologi Mandiri
339,OY! Indonesia
340,Amar Bank
341,Cimory Dairyland
342,Ascendeum
343,PT Oninyon Revolusi Kreatif Indonesia
344,Century Games
345,Bhanzu
346,PT Nextgen Inovasi Indonesia
347,Lingosnap
348,MultitudeX Pte. Ltd.
349,ASTRO
350,Nestlé
351,PT. Duta Abadi Primantara
352,Spyderwebss
353,PT Ada Ide Langsung Jalan
354,PT. PASSION ABADI KORPORA
355,PT BANK GANESHA Tbk
356,PT. ESTU LENTERA INDO TEKNOLOGI
357,Crossover 
358,Freeport Indonesia
359,Lemon Recruiting
360,CEC
361,Swif
362,Edufio
363,LXT
364,3000 Group
365,Photon
366,PT Tiga Daya Digital Indonesia (Eksad Technology)
367,Little Advisors
368,PT Brilliann Nuswantara Bhagawanta
369,Wise
370,Appen
371,qode.world
372,Lemonilo
373,BBM
374,PT. Bannister Corporindo
375,Argus Labs
376,PT Data Labs Analytics
377,Truelancer.com
378,PT TRANSNOVASI BANGUN PERSADA
379,Kelas.com
380,Kodland
381,Taman Safari Indonesia
382,Persona
383,Accor
384,Hiswara Bunjamin & Tandjung
385,BTB School
386,Royal Canin
387,The Ascott Limited Indonesia
388,Lumina
389,Open Society Foundations
390,"LanceSoft, Inc."
391,Demandlane
392,SuperApp (YC W18)
393,HCLTech
394,Triputra Visi Energi
395,PT. Swadharma Duta Data
396,Google Cloud - Minnesota
397,E-Solutions
398,PHINCON
399,Evermos
